primaryTitle,runtimeMinutes,genres,isAdult,averageRating,numVotes,budget,domestic,world,year,oscar_nominated
bad company,76.0,"Crime,Drama",0,6.2,157.0,70000000.0,30157016.0,69157016.0,,0
black and white,106.0,Comedy,0,5.3,129.0,10000000.0,5241315.0,5241315.0,,0
devotion,81.0,"Comedy,Drama,Romance",0,6.2,309.0,90000000.0,20511938.0,21461880.0,,0
fascination,70.0,Drama,0,6.3,51.0,5000000.0,16670.0,83356.0,,0
frankenstein,70.0,"Drama,Horror,Sci-Fi",0,7.7,86475.0,45000000.0,22006296.0,112006296.0,,0
the front page,101.0,"Comedy,Crime,Drama",0,6.7,3772.0,4000000.0,15000000.0,15000000.0,,0
gloria,90.0,Drama,0,6.7,42.0,30000000.0,4167493.0,4967493.0,,0
out of the blue,88.0,Musical,0,6.2,49.0,4600000.0,728.0,731767.0,,0
the phantom,62.0,"Horror,Thriller",0,4.3,502.0,45000000.0,17220599.0,17220599.0,,0
rebound,89.0,Drama,0,5.6,171.0,45000000.0,16809014.0,17492014.0,,0
trapeze,95.0,Drama,0,6.1,24.0,4000000.0,14400000.0,14400000.0,,0
sidewalks of new york,74.0,"Action,Comedy,Crime",0,5.7,678.0,1000000.0,2402459.0,3575308.0,,0
silence,60.0,"Crime,Drama",0,6.3,84.0,46500000.0,7100177.0,23709894.0,,0
skyline,68.0,Drama,0,7.0,56.0,10000000.0,21416355.0,68264973.0,,0
unfaithful,85.0,"Drama,Romance",0,6.5,84.0,50000000.0,52752475.0,119114494.0,,0
wicked,57.0,Drama,0,6.0,66.0,145000000.0,474983975.0,757913345.0,,0
deception,65.0,Drama,0,6.5,26.0,25000000.0,4598506.0,12850033.0,,0
down to earth,79.0,Comedy,0,5.9,99.0,30000000.0,64172251.0,71172251.0,,0
emma,72.0,Drama,0,7.0,1241.0,10000000.0,10055355.0,27365788.0,,0
emma,72.0,Drama,0,7.0,1241.0,5900000.0,22231658.0,37831658.0,,0
a farewell to arms,80.0,"Drama,Romance,War",0,6.4,7402.0,5000000.0,11000000.0,11018982.0,,0
the intruder,66.0,"Crime,Drama,Mystery",0,4.6,168.0,8000000.0,35388976.0,40597401.0,,0
the last of the mohicans,231.0,"Drama,War,Western",0,5.8,193.0,40000000.0,75505856.0,75505856.0,,0
mata hari,89.0,"Crime,Drama,Romance",0,6.6,4178.0,558000.0,900000.0,900000.0,,0
the mummy,73.0,"Fantasy,Horror",0,6.9,32812.0,195000000.0,80101125.0,409953905.0,,0
the mummy,73.0,"Fantasy,Horror",0,6.9,32812.0,80000000.0,161538025.0,422538025.0,,0
the reckoning,63.0,"Crime,Drama",0,4.9,90.0,3500000.0,143532.0,465177.0,,0
scarface,93.0,"Action,Crime,Drama",0,7.7,32735.0,25000000.0,45227398.0,65703398.0,,0
sherlock holmes,68.0,"Drama,Thriller",0,5.6,280.0,90000000.0,209028679.0,498438212.0,,0
the tempest,101.0,"Crime,Drama",0,7.3,51.0,20000000.0,277943.0,277943.0,,0
vanity fair,78.0,"Drama,Romance",0,5.6,463.0,23000000.0,16123851.0,19123851.0,,0
shame,115.0,Drama,0,6.5,99.0,6500000.0,4002293.0,20412841.0,,0
dope,107.0,Drama,0,7.0,40.0,7000000.0,17506470.0,18190831.0,,0
alice in wonderland,76.0,"Adventure,Family,Fantasy",0,6.3,2922.0,200000000.0,334191110.0,1025491110.0,,0
alice in wonderland,76.0,"Adventure,Family,Fantasy",0,6.3,2922.0,3000000.0,0.0,384.0,,0
bombshell,96.0,"Comedy,Drama,Mystery",0,7.1,3370.0,32000000.0,31762808.0,61404394.0,,0
42nd street,89.0,"Comedy,Drama,Musical",0,7.3,13660.0,439000.0,1438000.0,2281000.0,,0
the fugitive,60.0,"Drama,Western",0,5.3,33.0,44000000.0,183968665.0,353808222.0,,0
the invisible man,71.0,"Horror,Sci-Fi",0,7.6,43430.0,7000000.0,64914050.0,139011965.0,,0
king kong,100.0,"Adventure,Horror",0,7.9,94924.0,207000000.0,218080025.0,556906378.0,,0
king kong,100.0,"Adventure,Horror",0,7.9,94924.0,23000000.0,52614445.0,90614445.0,,0
king kong,100.0,"Adventure,Horror",0,7.9,94924.0,672000.0,10000000.0,10001781.0,,0
little women,115.0,"Drama,Family,Romance",0,7.2,8413.0,42000000.0,108095955.0,218838386.0,,0
little women,115.0,"Drama,Family,Romance",0,7.2,8413.0,15000000.0,50003303.0,50003303.0,,0
lucky dog,60.0,Drama,0,6.4,17.0,2000000.0,0.0,0.0,,0
the man from toronto,77.0,"Comedy,Romance",0,6.3,157.0,75000000.0,0.0,470000.0,,0
morning glory,74.0,"Drama,Romance",0,6.4,3524.0,40000000.0,31011732.0,59795070.0,,0
mother and child,121.0,Drama,0,2.5,36.0,7000000.0,1110509.0,6537179.0,,0
oliver twist,80.0,"Drama,Family,Mystery",0,5.1,446.0,65000000.0,2070920.0,26670920.0,,0
she done him wrong,66.0,"Comedy,Drama,History",0,6.3,7522.0,200000.0,2200000.0,2200000.0,,0
state fair,99.0,"Comedy,Drama,Romance",0,6.7,1280.0,4500000.0,3500000.0,3500000.0,,0
spy,77.0,"Drama,Musical,Romance",0,6.5,48.0,65000000.0,110825712.0,233844106.0,,0
the three musketeers,210.0,"Action,Adventure,Drama",0,5.2,541.0,90000000.0,20377913.0,139877913.0,,0
the tunnel,72.0,"Drama,Sci-Fi",0,5.2,103.0,135000.0,1348.0,1348.0,,0
the age of innocence,81.0,"Drama,Romance",0,6.2,588.0,34000000.0,32014993.0,32021688.0,,0
before midnight,63.0,"Adventure,Crime,Drama",0,6.0,371.0,3000000.0,8110621.0,23225160.0,,0
beloved,85.0,"Drama,Musical",0,6.2,61.0,53000000.0,22852487.0,22852487.0,,0
cleopatra,100.0,"Biography,Drama,History",0,6.8,5079.0,42000000.0,57000000.0,71000000.0,,0
the count of monte cristo,113.0,"Action,Adventure,Crime",0,7.4,3685.0,40000000.0,54228104.0,75389090.0,,0
dirty work,70.0,"Comedy,Crime,Romance",0,6.0,74.0,13000000.0,10020081.0,10020081.0,,0
the fountain,83.0,"Drama,Romance",0,5.7,136.0,35000000.0,10144010.0,15461638.0,,0
i spy,62.0,"Comedy,Drama,Romance",0,6.1,57.0,70000000.0,33561137.0,60279822.0,,0
it happened one night,105.0,"Comedy,Romance",0,8.1,118400.0,325000.0,2500000.0,2500503.0,1934.0,1
the last waltz,95.0,"Musical,Romance",0,6.2,12.0,35000.0,321952.0,323697.0,,0
maniac,51.0,"Horror,Sci-Fi",0,3.7,2867.0,350000.0,10000000.0,10000000.0,,0
million dollar baby,65.0,"Comedy,Drama,Music",0,6.6,27.0,30000000.0,100492203.0,231928227.0,,0
les misérables,281.0,Drama,0,8.3,2171.0,65000000.0,149260140.0,435292452.0,,0
moulin rouge,70.0,"Comedy,Musical,Romance",0,6.4,207.0,53000000.0,57386369.0,179199536.0,,0
the painted veil,85.0,"Drama,Romance",0,6.5,1848.0,19400000.0,8060487.0,15118795.0,,0
the partys over,68.0,"Adventure,Comedy,Musical",0,7.3,28.0,1000000.0,0.0,0.0,,0
road house,76.0,"Crime,Musical,Romance",0,6.0,62.0,10000000.0,30050028.0,30050028.0,,0
the scarlet letter,69.0,"Drama,Romance",0,5.4,553.0,50000000.0,10359006.0,10359006.0,,0
anna karenina,95.0,"Drama,Romance",0,7.0,6143.0,49000000.0,12816367.0,71004627.0,,0
the lost city,80.0,"Action,Adventure,Romance",0,4.9,342.0,74000000.0,105344029.0,191588189.0,,0
the lost city,80.0,"Action,Adventure,Romance",0,4.9,342.0,9600000.0,2484186.0,5256839.0,,0
a dog of flanders,72.0,"Drama,Family",0,6.5,155.0,7000000.0,2165637.0,2165637.0,,0
home on the range,54.0,"Action,Drama,Romance",0,6.4,60.0,110000000.0,50026353.0,76482461.0,,0
the informer,91.0,"Crime,Drama",0,7.3,7718.0,60000000.0,300460.0,3377027.0,,0
metropolitan,79.0,"Drama,Musical,Romance",0,6.6,146.0,430000.0,2938000.0,2938000.0,,0
les misérables,108.0,"Drama,History,Romance",0,7.6,4161.0,65000000.0,149260140.0,435292452.0,,0
mutiny on the bounty,132.0,"Adventure,Biography,Drama",0,7.6,26284.0,19000000.0,13680000.0,13680000.0,,0
the raven,61.0,"Crime,Horror",0,6.8,7179.0,26000000.0,16008272.0,30601801.0,,0
shanghai,75.0,"Drama,Romance",0,6.1,162.0,50000000.0,46425.0,15505922.0,,0
stranded,72.0,"Drama,Romance",0,6.4,620.0,1900000.0,0.0,285593.0,,0
suicide squad,58.0,"Action,Drama,Romance",0,4.3,144.0,175000000.0,325100054.0,749200054.0,,0
the three musketeers,96.0,"Action,Adventure,Romance",0,5.8,418.0,90000000.0,20377913.0,139877913.0,,0
top hat,101.0,"Comedy,Musical,Romance",0,7.7,21830.0,609000.0,1782000.0,3202000.0,,0
the charge of the light brigade,115.0,"Action,Adventure,Romance",0,7.0,5755.0,1200000.0,0.0,0.0,,0
fame,68.0,Comedy,0,5.0,13.0,18000000.0,22455510.0,80227619.0,,0
flash gordon,245.0,"Action,Adventure,Family",0,6.9,2864.0,35000000.0,27107960.0,27176825.0,,0
fury,92.0,"Crime,Drama,Film-Noir",0,7.8,14571.0,80000000.0,85817906.0,210221008.0,,0
high tension,63.0,"Action,Comedy,Drama",0,5.6,158.0,2850000.0,3681066.0,6435262.0,,0
just my luck,70.0,"Action,Comedy",0,4.7,23.0,28000000.0,17326650.0,38159905.0,,0
the last of the mohicans,91.0,"Adventure,Drama,Western",0,6.6,1861.0,40000000.0,75505856.0,75505856.0,,0
modern times,87.0,"Comedy,Drama,Romance",0,8.5,281851.0,1500000.0,163245.0,225837.0,,0
no escape,83.0,Mystery,0,6.1,39.0,5000000.0,27288872.0,42844516.0,,0
palm springs,72.0,"Comedy,Drama,Romance",0,6.4,59.0,5000000.0,0.0,1818417.0,,0
anna,108.0,"Crime,Drama",0,6.9,66.0,30000000.0,7743794.0,32825217.0,,0
anna,108.0,"Crime,Drama",0,6.9,66.0,4357373.0,0.0,1200000.0,,0
rubber,106.0,Drama,0,5.7,62.0,500000.0,100370.0,680914.0,,0
sabotage,76.0,"Crime,Thriller",0,7.0,20257.0,35000000.0,10508518.0,18376443.0,,0
san francisco,115.0,"Drama,Music,Romance",0,7.1,6495.0,1300000.0,2868000.0,5273000.0,,0
the shadow,63.0,Mystery,0,5.7,289.0,40000000.0,31835600.0,31835600.0,,0
show boat,113.0,"Comedy,Drama,Musical",0,7.4,4015.0,2300000.0,11000000.0,11000000.0,,0
speed,70.0,"Action,Drama,Romance",0,5.7,693.0,30000000.0,121248145.0,283200000.0,,0
tango,66.0,Drama,0,5.4,67.0,4500000.0,1687311.0,5428387.0,,0
ticket to paradise,67.0,"Adventure,Comedy,Crime",0,6.2,153.0,60000000.0,68275985.0,168576981.0,,0
man of the house,73.0,Drama,0,6.1,89.0,50000000.0,19699706.0,22099706.0,,0
white fang,70.0,"Action,Adventure,Drama",0,6.3,90.0,14000000.0,34729091.0,34729091.0,,0
prisoners,95.0,Drama,0,6.2,40.0,46000000.0,61002302.0,113310547.0,,0
dick tracy,70.0,"Action,Comedy,Crime",0,6.5,690.0,47000000.0,103738726.0,162738726.0,,0
columbus,78.0,Comedy,0,5.7,11.0,700000.0,1017107.0,1110511.0,,0
ghost town,56.0,"Drama,Western",0,6.0,101.0,20000000.0,13367624.0,29958228.0,,0
the hurricane,104.0,"Action,Adventure,Drama",0,7.1,3310.0,38000000.0,50699241.0,73956241.0,,0
the messenger,98.0,Drama,0,6.0,72.0,6500000.0,1109660.0,1744952.0,,0
the prisoner of zenda,101.0,"Adventure,Drama,Romance",0,7.6,5368.0,12500000.0,7000000.0,7000000.0,,0
the shadow,59.0,"Action,Crime,Mystery",0,6.4,183.0,40000000.0,31835600.0,31835600.0,,0
